광역시코드,총세대수,전용면적,세대수,임대보증금,월임대료
11,873,46.71,72,43231000,358790
11,873,46.05,64,43231000,358790
11,873,46.01,180,43231000,358790
11,873,36.62,84,20188000,252360
11,873,36.08,448,20188000,252360
11,873,36.05,25,20188000,252360
11,350,59.94,3,38746000,310350
11,350,59.73,87,38746000,310350
11,350,59.31,2,38746000,310350
11,350,51.84,258,33399000,271060
11,245,36.44,191,14014000,178600
11,440,46.96,25,44218000,346720
11,440,46.76,192,44218000,346720
11,440,36.87,43,20452000,249070
11,440,36.7,154,20452000,249070
11,440,26.68,26,14866000,185430
11,192,37.62,134,31868000,217160
11,192,33.95,58,21003000,185730
26,961,59.69,18,25394000,201990
26,961,59.48,88,25394000,201990
26,961,46.46,340,15583000,140810
26,961,46.03,40,15583000,140810
26,961,36.94,79,9811000,87710
26,961,36.66,396,9811000,87710
26,1084,46.77,172,20485000,147000
26,1084,46.56,454,20485000,147000
26,1084,39.96,280,16268000,112050
26,1084,39.74,178,16268000,112050
26,875,45.32,298,14292000,141630
26,875,45.09,20,14215000,141630
26,875,36.44,557,11492000,104930
26,1002,51.93,108,24240000,171990
26,1002,46.9,508,18582000,138510
26,1002,39.77,238,15235000,106180
26,1002,39.72,148,15235000,106180
26,332,46.76,148,25583000,234660
26,332,37.74,152,17322000,187750
26,332,29.88,32,9816000,140600
26,964,59.86,298,39671000,233420
26,964,51.6,378,33347000,201220
26,964,46.98,75,27941000,156370
26,964,46.46,213,27941000,156370
26,1128,59.94,230,26654000,315010
26,1128,51.56,488,22799000,274260
26,1128,46.72,410,20266000,251120
26,1533,59.99,606,36205000,215950
26,1533,59.57,446,36205000,215950
26,1533,51.86,258,27465000,156030
26,1533,51.77,223,25966000,144800
26,1301,59.88,508,34946000,216900
26,1301,51.93,435,27715000,162680
26,1301,51.77,358,27715000,162680
26,619,59.96,44,53098000,300120
26,619,51.93,132,41554000,253940
26,619,46.9,196,34629000,225080
26,619,39.94,15,25394000,184680
26,619,39.57,150,25394000,184680
26,619,33.4,82,18930000,150050
26,533,51.3,165,42000000,403200
26,533,46.98,38,37485000,370650
26,533,46.21,66,37485000,370650
26,533,39.86,99,27090000,309750
26,533,39.64,66,27090000,309750
26,533,33.51,99,15855000,259350
26,1350,59.63,464,20018000,246330
26,1350,51.88,886,17417000,213320
26,840,59.64,166,21720000,277410
26,840,51.95,454,18921000,239600
26,840,51.49,220,18752000,237340
26,622,51.93,118,33810000,281400
26,622,46.95,150,27720000,232050
26,622,46.9,28,27720000,232050
26,622,41.97,92,22365000,185850
26,622,41.94,108,22365000,185850
26,622,41.83,126,22365000,185850
26,291,51.55,91,50775000,422950
26,291,46.53,200,44387000,368980
26,828,46.96,207,14276000,141620
26,828,46.47,159,14276000,141620
26,828,39.88,305,13135000,105060
26,828,39.15,157,13135000,105060
26,890,59.47,300,33410000,266120
26,890,51.93,168,26497000,218890
26,890,51.77,422,26497000,218890
27,402,46.06,94,31718000,265000
27,402,28.23,32,11287000,152000
27,402,28.13,276,11287000,152000
27,705,46.19,411,24207000,200540
27,705,36.63,294,19108000,162980
27,302,59.57,108,26082000,234340
27,302,51.86,194,23196000,199400
27,801,59.57,48,32454000,194720
27,801,59.29,48,32454000,194720
27,801,51.77,212,28559000,171340
27,801,46.19,212,25964000,97350
27,801,36.63,135,19472000,89560
27,801,36.3,30,19472000,89560
27,801,36.23,56,19472000,89560
