광역시코드,지역명,공급유형명,단지명,총세대수,전용면적,세대수,임대보증금,월임대료,최초입주년월
11,서울특별시 강남구,국민임대,서울강남 3블록,873,46.71,72,43231000,358790,201311
11,서울특별시 강남구,국민임대,서울강남 3블록,873,46.05,64,43231000,358790,201311
11,서울특별시 강남구,국민임대,서울강남 3블록,873,46.01,180,43231000,358790,201311
11,서울특별시 강남구,국민임대,서울강남 3블록,873,36.62,84,20188000,252360,201311
11,서울특별시 강남구,국민임대,서울강남 3블록,873,36.08,448,20188000,252360,201311
11,서울특별시 강남구,국민임대,서울강남 3블록,873,36.05,25,20188000,252360,201311
11,서울특별시 강서구,국민임대,서울등촌11,350,59.94,3,38746000,310350,200410
11,서울특별시 강서구,국민임대,서울등촌11,350,59.73,87,38746000,310350,200410
11,서울특별시 강서구,국민임대,서울등촌11,350,59.31,2,38746000,310350,200410
11,서울특별시 강서구,국민임대,서울등촌11,350,51.84,258,33399000,271060,200410
11,서울특별시 도봉구,국민임대,서울도봉,245,36.44,191,14014000,178600,200212
11,서울특별시 서초구,국민임대,서울서초3블록,440,46.96,25,44218000,346720,201307
11,서울특별시 서초구,국민임대,서울서초3블록,440,46.76,192,44218000,346720,201307
11,서울특별시 서초구,국민임대,서울서초3블록,440,36.87,43,20452000,249070,201307
11,서울특별시 서초구,국민임대,서울서초3블록,440,36.7,154,20452000,249070,201307
11,서울특별시 서초구,국민임대,서울서초3블록,440,26.68,26,14866000,185430,201307
11,서울특별시 중랑구,국민임대,서울양원 S1BL 임대주택,192,37.62,134,31868000,217160,202202
11,서울특별시 중랑구,국민임대,서울양원 S1BL 임대주택,192,33.95,58,21003000,185730,202202
26,부산광역시 강서구,국민임대,"부산지사(08,주1) 1단지",961,59.69,18,25394000,201990,201110
26,부산광역시 강서구,국민임대,"부산지사(08,주1) 1단지",961,59.48,88,25394000,201990,201110
26,부산광역시 강서구,국민임대,"부산지사(08,주1) 1단지",961,46.46,340,15583000,140810,201110
26,부산광역시 강서구,국민임대,"부산지사(08,주1) 1단지",961,46.03,40,15583000,140810,201110
26,부산광역시 강서구,국민임대,"부산지사(08,주1) 1단지",961,36.94,79,9811000,87710,201110
26,부산광역시 강서구,국민임대,"부산지사(08,주1) 1단지",961,36.66,396,9811000,87710,201110
26,부산광역시 기장군,국민임대,고촌 휴먼시아,1084,46.77,172,20485000,147000,201002
26,부산광역시 기장군,국민임대,고촌 휴먼시아,1084,46.56,454,20485000,147000,201002
26,부산광역시 기장군,국민임대,고촌 휴먼시아,1084,39.96,280,16268000,112050,201002
26,부산광역시 기장군,국민임대,고촌 휴먼시아,1084,39.74,178,16268000,112050,201002
26,부산광역시 기장군,국민임대,기장교리,875,45.32,298,14292000,141630,200312
26,부산광역시 기장군,국민임대,기장교리,875,45.09,20,14215000,141630,200312
26,부산광역시 기장군,국민임대,기장교리,875,36.44,557,11492000,104930,200312
26,부산광역시 기장군,국민임대,부산내리,1002,51.93,108,24240000,171990,200811
26,부산광역시 기장군,국민임대,부산내리,1002,46.9,508,18582000,138510,200811
26,부산광역시 기장군,국민임대,부산내리,1002,39.77,238,15235000,106180,200811
26,부산광역시 기장군,국민임대,부산내리,1002,39.72,148,15235000,106180,200811
26,부산광역시 기장군,국민임대,부산장안A-1BL,332,46.76,148,25583000,234660,202210
26,부산광역시 기장군,국민임대,부산장안A-1BL,332,37.74,152,17322000,187750,202210
26,부산광역시 기장군,국민임대,부산장안A-1BL,332,29.88,32,9816000,140600,202210
26,부산광역시 기장군,국민임대,부산정관 4단지(A-22BL),964,59.86,298,39671000,233420,201209
26,부산광역시 기장군,국민임대,부산정관 4단지(A-22BL),964,51.6,378,33347000,201220,201209
26,부산광역시 기장군,국민임대,부산정관 4단지(A-22BL),964,46.98,75,27941000,156370,201209
26,부산광역시 기장군,국민임대,부산정관 4단지(A-22BL),964,46.46,213,27941000,156370,201209
26,부산광역시 기장군,국민임대,부산정관 5단지(A-19BL),1128,59.94,230,26654000,315010,201310
26,부산광역시 기장군,국민임대,부산정관 5단지(A-19BL),1128,51.56,488,22799000,274260,201310
26,부산광역시 기장군,국민임대,부산정관 5단지(A-19BL),1128,46.72,410,20266000,251120,201310
26,부산광역시 기장군,국민임대,정관신도시휴먼시아1,1533,59.99,606,36205000,215950,200812
26,부산광역시 기장군,국민임대,정관신도시휴먼시아1,1533,59.57,446,36205000,215950,200812
26,부산광역시 기장군,국민임대,정관신도시휴먼시아1,1533,51.86,258,27465000,156030,200812
26,부산광역시 기장군,국민임대,정관신도시휴먼시아1,1533,51.77,223,25966000,144800,200812
26,부산광역시 기장군,국민임대,정관신도시휴먼시아2,1301,59.88,508,34946000,216900,201001
26,부산광역시 기장군,국민임대,정관신도시휴먼시아2,1301,51.93,435,27715000,162680,201001
